layer,mean,std,max,min,median
block1_conv1,0.07239285462193065,0.06926841810294017,0.2491387493426358,0.0,0.06441109536401757
block1_conv2,0.07026441592057237,0.0847958761517525,0.32794669544606103,0.0,0.04242371327144867
block2_conv1,0.07709995075784945,0.07946867157915825,0.2905349879038823,0.0,0.052115918809745976
block2_conv2,0.10234306309476912,0.09552078055678807,0.49860631561183544,0.0,0.08377875327974937
block3_conv1,0.08195555527356646,0.09116632618843235,0.48106551915324314,0.0,0.05557393772217001
block3_conv2,0.09905590837310524,0.09269537390189644,0.39195685986510176,0.0,0.07966456564528634
block3_conv3,0.09997286724778176,0.09242638885298517,0.42018212021153944,0.0,0.08033114519279572
block4_conv1,0.09738114279792466,0.09494810327186733,0.46137865253753185,0.0,0.07437098938594411
block4_conv2,0.09961031832058645,0.09663249266644855,0.44745211459897094,0.0,0.07687327713662695
block4_conv3,0.0832942568078602,0.08494733343649608,0.41993539010573677,0.0,0.06351796594083292
block5_conv1,0.09366517164770292,0.09341129707510036,0.47715268847783765,0.0,0.07030120462685652
block5_conv2,0.09409341760319129,0.09825142774539772,0.4578844797314825,0.0,0.06492514735288535
block5_conv3,0.08132057442874173,0.0864977122891413,0.49259623067781755,0.0,0.057431244729442055
dense,0.09065660638643591,0.09550327399164782,0.4078131179006288,0.0,0.06509218722065313
dense_1,0.10853677376557994,0.11222664175654157,0.43585047840353175,0.0,0.08599763426540741
dense_2,0.5022130222076424,0.08924542977686686,0.6152199323436935,0.36863605957788037,0.4934015999923793
