file,split,per_occ,detections,img_w,img_h,animals,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
2008_000008,train,0.20270135746606335,2,500,442,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2008_000015,train,0.18331498470948013,2,500,327,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000019,train,0.24638480392156864,3,480,272,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2008_000023,train,0.4595735735735736,5,333,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2008_000028,train,0.018709333333333335,2,500,375,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000033,train,0.12261861861861861,1,500,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000036,train,0.3240266666666667,5,500,375,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000037,train,0.10055855855855855,1,500,444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000041,train,0.28532266666666667,12,500,375,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,7,0,0,0,0,0
2008_000045,train,0.4180853333333333,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008_000053,train,0.640448,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000060,train,0.47235065901360546,1,448,336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000066,train,0.5971801242236024,1,483,500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000070,train,0.07464533333333333,3,500,375,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2008_000074,train,0.19563733333333333,1,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000085,train,0.6899573333333333,1,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000089,train,0.3481170212765957,1,376,500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008_000093,train,0.33021866666666666,6,500,375,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1
2008_000095,train,0.006725333333333333,1,375,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000096,train,0.5670826666666666,2,500,375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008_000097,train,0.010582582582582583,1,333,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000099,train,0.4066106442577031,2,500,357,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2008_000103,train,0.049776,1,500,375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000105,train,0.03312533333333333,1,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000109,train,0.45797866666666665,3,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2008_000112,train,0.2585386666666667,2,500,375,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000128,train,0.6926186666666667,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2008_000131,train,0.03345454545454545,1,500,308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000132,train,0.357856,3,500,375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000141,train,0.397003003003003,2,500,333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2008_000142,train,0.27735135135135136,3,500,333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2008_000143,train,0.14109638554216866,5,500,332,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0
2008_000144,train,0.12254216867469879,2,500,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2008_000148,train,0.012613333333333334,1,500,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000151,train,0.0017386666666666666,1,500,375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000154,train,0.026054380664652568,1,500,331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000162,train,0.6365951417004049,1,494,500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000176,train,0.42322666666666664,2,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000181,train,0.4023757154344638,1,486,348,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000185,train,0.32515315315315313,1,500,333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000187,train,0.09447447447447448,1,500,333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000188,train,0.29333333333333333,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008_000189,train,0.3633873873873874,1,500,333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000191,train,0.022890666666666667,3,500,375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000192,train,0.08138728323699422,1,500,346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000193,train,0.06102102102102102,1,500,333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000196,train,0.45538133333333336,4,500,375,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2008_000197,train,0.018912912912912912,1,500,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000199,train,0.09899733333333334,2,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000202,train,0.32114714714714715,7,500,333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1
2008_000207,train,0.17723952095808385,1,334,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000217,train,0.48273066666666664,2,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000226,train,0.03880533333333333,4,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000227,train,0.696192,4,500,375,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
2008_000235,train,0.19719466666666666,2,500,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000236,train,0.379632,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000237,train,0.037248,4,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
2008_000238,train,0.4583946666666667,1,500,375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000252,train,0.39109333333333335,5,500,375,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000255,train,0.002319526627218935,1,500,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000259,train,0.09029333333333334,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000260,train,0.23346827794561933,4,500,331,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
